# sha256[:16]	source	origin	flagged
67aabb34662c2f32	dbt	ArturoAcf/curso_data_engineering	
23b00548e948b623	dbt	ArturoAcf/curso_data_engineering	
aef5bda4f67e1171	dbt	ArturoAcf/curso_data_engineering	
c0cf2f5dbe3a7317	dbt	ArturoAcf/curso_data_engineering	
4c18333fdb2296e6	dbt	ArturoAcf/curso_data_engineering	
d86393bc38de3b46	dbt	ArturoAcf/curso_data_engineering	
e005c56f9a1dec1b	dbt	ArturoAcf/curso_data_engineering	
0936e3810e789814	dbt	ArturoAcf/curso_data_engineering	
8a9efc002dfc6279	dbt	ArturoAcf/curso_data_engineering	
deed8f0c882ffc55	dbt	ArturoAcf/curso_data_engineering	
b06b41abacd8e6b4	dbt	ArturoAcf/curso_data_engineering	
8aab0d615b7ad63e	dbt	Bil3al/urban-mobility-platform	
b3abaaa619926fae	dbt	Bil3al/urban-mobility-platform	
f7c2fe2154901549	dbt	Bil3al/urban-mobility-platform	
1e0739ab0786fcfe	dbt	Bil3al/urban-mobility-platform	
7e8f29c8f2777e3e	dbt	Bil3al/urban-mobility-platform	
ff530aa23b8220fa	dbt	Bil3al/urban-mobility-platform	
27992a169adfebeb	dbt	Bil3al/urban-mobility-platform	
cb97f1f27b0a8fcb	dbt	Bil3al/urban-mobility-platform	
5f122e25386a1565	dbt	Bil3al/urban-mobility-platform	
350f1fee5b9a9961	dbt	Bil3al/urban-mobility-platform	
1d4e48cc368e552d	dbt	Bil3al/urban-mobility-platform	
fac7fececb84b3bc	dbt	Bil3al/urban-mobility-platform	
b89b919156b7fbf1	dbt	Bil3al/urban-mobility-platform	
789e27cc5b37bdfc	dbt	Bil3al/urban-mobility-platform	
ea185801358b5e13	dbt	Bil3al/urban-mobility-platform	
b7771150bdbb1760	dbt	Bil3al/urban-mobility-platform	
be4a61be10bccfb8	dbt	Cedar-Cat-Studios/dbt_query_game	
1a7eb2099cf32d5c	dbt	Cedar-Cat-Studios/dbt_query_game	
23366ac743c6215e	dbt	Cedar-Cat-Studios/dbt_query_game	
d246e8ae8af9d061	dbt	Cedar-Cat-Studios/dbt_query_game	
b0ba3eaf2d4422dc	dbt	Cedar-Cat-Studios/dbt_query_game	
4db5aa1d8edb1770	dbt	Cedar-Cat-Studios/dbt_query_game	
3f5fd53f2113ad69	dbt	ChaJiKwon/mavenfuzzyfactory-etl-pipeline	
030ddcfe8d0cee7a	dbt	ChaJiKwon/mavenfuzzyfactory-etl-pipeline	
3e757fe7db1d769e	dbt	ChaJiKwon/mavenfuzzyfactory-etl-pipeline	
0eb1e94b84bf6c9e	dbt	ChaJiKwon/mavenfuzzyfactory-etl-pipeline	
de9ef06370e4ab9b	dbt	ChaJiKwon/mavenfuzzyfactory-etl-pipeline	
5e7acd2b3c236ad1	dbt	ChaJiKwon/mavenfuzzyfactory-etl-pipeline	
037941bcd6b0882a	dbt	ChaJiKwon/mavenfuzzyfactory-etl-pipeline	
10dea9176fcd47ca	dbt	Circhastic/de-zoomcamp-2025	
8a3be27cd3c7e5f8	dbt	Circhastic/de-zoomcamp-2025	
63a7ce41328616f4	dbt	Circhastic/de-zoomcamp-2025	
bdc9aa270db63986	dbt	Circhastic/de-zoomcamp-2025	
58f0a1fcf468c7da	dbt	Circhastic/de-zoomcamp-2025	
d97b845da5c2c0fb	dbt	Circhastic/de-zoomcamp-2025	
116aa33c0cb711ba	dbt	Circhastic/de-zoomcamp-2025	
b9f56819ee65aa89	dbt	Circhastic/de-zoomcamp-2025	
725042e894602bb0	dbt	Circhastic/de-zoomcamp-2025	
07725b7e95622440	dbt	Circhastic/de-zoomcamp-2025	
0b491c803409fc89	dbt	Circhastic/de-zoomcamp-2025	
207605a657ecc82f	dbt	Circhastic/de-zoomcamp-2025	
